      0.174932532641; 0;1;3;6;7
      0.174919621449; 6;8;9;10
      0.174872101438; 0;3;5;7;9
      0.174869941695; 3;5;6;7;9
      0.174865688500; 2;6;9
      0.174841706194; 6;8
      0.174816124410; 2;3;6;9;10
      0.174751442193; 0;1;2;9
      0.174663942132; 3;6;7;8;9;10
      0.174586181320; 1;3;6;7;8
      0.174568774767; 0;1;3;4;7
      0.174559160832; 0;6;9
      0.174544245889; 0;2;7;8;9
      0.174314992849; 0;1;3;6;8;9
      0.174312121317; 5;8
      0.174297197781; 0;3;4;7;8
      0.174287785084; 1;3;5;7;8
      0.174260008256; 0;3;6;7;10
      0.174231936930; 0;1;3;10
      0.174218423005; 4;7;8;9
      0.174044943426; 6;7;10
      0.174011919797; 0;2;3;5;6;7;9
      0.173984906222; 0;2;5;9
      0.173982148950; 0;2;3;7;8;9
      0.173871844999; 3;4;6;7;8;9
      0.173827700903; 0;7;10
      0.173764388997; 0;5;8;9
      0.173677094868; 5;9;10
      0.173567869139; 2;6;7;8;9
      0.173541824567; 0;2;6;9
      0.173480975329; 2;3;4;5;9
      0.173440409464; 2;3;6;7;8;9
      0.173335734616; 0;2;3;4;7
      0.173235469230; 5;8;9;10
      0.173193547329; 3;5;9;10
      0.173078981935; 0;3;9;10
      0.173052663117; 2;3;5;7;8
      0.172891604825; 2;4;7;9;10
      0.172846217716; 2;4;9;10
      0.172625254353; 4;7;8
      0.172554940510; 0;3;8;9;10
      0.172534380308; 2;4;6;7;9
      0.172359476119; 0;7;9;10
      0.172246838178; 0;1;3;6;7;9
      0.172193461120; 1;3;5
      0.172175001384; 0;2;3;6;7
      0.172109873842; 3;4;9;10
      0.172040556854; 0;2;3;5;7;8;9
      0.171999752032; 2;3;6;7;8
      0.171975061872; 0;2;3;5;7;8
      0.171942429230; 0;1;4;9
      0.171923553647; 6;9
      0.171821973931; 0;2;5;7;9
      0.171752093006; 0;2;3;5;9
      0.171656550759; 0;4;7
      0.171644468282; 1;9;10
      0.171644275158; 0;1;2;3;4
      0.171641687674; 0;1;3;6;9
      0.171635022194; 2;3;4;6;7
      0.171602050292; 0;1;3;4;8
      0.171517120534; 2;4;6;8
      0.171295762732; 1;3;6;8;9
      0.171277074406; 1;3;5;7;9
      0.171269705224; 0;1;2;4;7
      0.171243692314; 0;3;8;10
      0.171174569140; 2;3;4;7;8;9
      0.171171501978; 5;7;10
      0.171168717569; 0;2;3;6;7;8;9
      0.171126007872; 1;2;3;4;7
      0.171117187024; 1;8;9;10
      0.171109621412; 0;1;2;3;9
      0.171078367274; 0;1;2;7;9
      0.171043248475; 2;3;4;6;8
      0.171038351013; 0;3;4;7;8;9
      0.170943769185; 0;2;3;5;6
      0.170855001212; 1;2
      0.170805810432; 2;5;6;7;9
      0.170799973874; 0;2;3;7;8
      0.170742399309; 2;4;6;7;8;9
      0.170640907801; 0;7;8;9;10
